File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6600780,4.0,42,159
DNACorpus2/EsCo,4641652,1160421,4.0,7,28
DNACorpus2/GaGa,148532294,37133082,4.0,235,883
DNACorpus2/HaHi,3890005,972510,4.0,6,23
DNACorpus2/DaRe,62565020,15641263,4.0,99,376
DNACorpus2/HePy,1667825,416965,4.0,2,10
DNACorpus2/HoSa,189752667,47438175,4.0,301,1149
DNACorpus2/DrMe,32181429,8045366,4.0,51,195
DNACorpus2/ScPo,10652155,2663047,4.0,16,64
DNACorpus2/BuEb,18940,4743,3.993,0,0
DNACorpus2/OrSa,43262523,10815639,4.0,69,262
DNACorpus2/AgPh,43970,11001,3.997,0,0
DNACorpus2/YeMi,73689,18431,3.998,0,0
DNACorpus2/AeCa,1591049,397771,4.0,2,9
DNACorpus2/PlFa,8986712,2246686,4.0,14,53
