File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,314505663,178714120
DNACorpus2/EsCo,4641652,1621508,2.863,95170313,33318622
DNACorpus2/GaGa,148532294,52441876,2.832,1674046629,1065041003
DNACorpus2/HaHi,3890005,1324571,2.937,82121750,27032819
DNACorpus2/DaRe,62565020,21182510,2.954,790271204,424380740
DNACorpus2/HePy,1667825,572507,2.913,49888810,12140903
DNACorpus2/HoSa,189752667,63973137,2.966,2300484092,1270215118
DNACorpus2/DrMe,32181429,11150498,2.886,441252298,227839344
DNACorpus2/ScPo,10652155,3691943,2.885,158870926,74698564
DNACorpus2/BuEb,18940,9894,1.914,4091268,701832
DNACorpus2/OrSa,43262523,15008736,2.882,565909073,304814136
DNACorpus2/AgPh,43970,20885,2.105,6750588,892141
DNACorpus2/YeMi,73689,31700,2.325,7885547,1214608
DNACorpus2/AeCa,1591049,561527,2.833,53693239,12042277
DNACorpus2/PlFa,8986712,2972072,3.024,146939066,59492274
