File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,33044540,0.799,528,485
DNACorpus2/EsCo,4641652,5920367,0.784,92,86
DNACorpus2/GaGa,148532294,195999791,0.758,2956,2810
DNACorpus2/HaHi,3890005,4779607,0.814,73,70
DNACorpus2/DaRe,62565020,79235702,0.79,1207,1159
DNACorpus2/HePy,1667825,2088791,0.798,32,31
DNACorpus2/HoSa,189752667,259099841,0.732,3876,3695
DNACorpus2/DrMe,32181429,38333504,0.84,592,568
DNACorpus2/ScPo,10652155,13720841,0.776,210,199
DNACorpus2/BuEb,18940,10106,1.874,0,0
DNACorpus2/OrSa,43262523,56539835,0.765,858,815
DNACorpus2/AgPh,43970,23885,1.841,0,0
DNACorpus2/YeMi,73689,57416,1.283,1,1
DNACorpus2/AeCa,1591049,2013455,0.79,31,30
DNACorpus2/PlFa,8986712,11668817,0.77,177,169
