File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
DNACorpus2/AeCa,1591049,0.09,3.71,428414
DNACorpus2/AgPh,43970,0.00,3.64,12066
DNACorpus2/BuEb,18940,0.00,3.62,5229
DNACorpus2/DaRe,62565020,3.79,3.88,16109731
DNACorpus2/DrMe,32181429,1.89,3.70,8683554
DNACorpus2/EnIn,26403087,1.54,3.72,7097041
DNACorpus2/EsCo,4641652,0.27,3.70,1252048
DNACorpus2/GaGa,148532294,8.71,3.74,39671913
DNACorpus2/HaHi,3890005,0.23,3.77,1030924
DNACorpus2/HePy,1667825,0.09,3.77,442160
DNACorpus2/HoSa,189752667,11.22,3.89,48765666
DNACorpus2/OrSa,43262523,2.53,3.73,11576628
DNACorpus2/PlFa,8986712,0.53,3.82,2351428
DNACorpus2/ScPo,10652155,0.62,3.68,2888891
DNACorpus2/YeMi,73689,0.00,3.78,19445
