File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,203578197,178252810
DNACorpus2/EsCo,4641652,1621508,2.863,37066382,33228529
DNACorpus2/GaGa,148532294,52441876,2.832,1137220255,1064858164
DNACorpus2/HaHi,3890005,1324571,2.937,33082785,27043694
DNACorpus2/DaRe,62565020,21182510,2.954,494585513,425082254
DNACorpus2/HePy,1667825,572507,2.913,15090848,12188990
DNACorpus2/HoSa,189752667,63973137,2.966,1471866189,1267515278
DNACorpus2/DrMe,32181429,11150498,2.886,251758349,227567554
DNACorpus2/ScPo,10652155,3691943,2.885,83344440,75130881
DNACorpus2/BuEb,18940,9894,1.914,383272,795739
DNACorpus2/OrSa,43262523,15008736,2.882,333197989,304135270
DNACorpus2/AgPh,43970,20885,2.105,696933,1135440
DNACorpus2/YeMi,73689,31700,2.325,1001907,1261387
DNACorpus2/AeCa,1591049,561527,2.833,14089451,12091065
DNACorpus2/PlFa,8986712,2972072,3.024,71972810,58700489
