File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15116,2.565,1940185,906918
DNACorpus1/mpomtcg,186609,70007,2.666,8568420,2918387
DNACorpus1/humhbb,73308,27918,2.626,3393241,1273709
DNACorpus1/humghcs,66495,25336,2.625,3043503,1217955
DNACorpus1/humprtb,56737,21687,2.616,2752315,1047954
DNACorpus1/chntxx,155844,58089,2.683,7232384,2607402
DNACorpus1/chmpxx,121024,43269,2.797,5504258,1864312
DNACorpus1/vaccg,191737,69820,2.746,9007938,3049424
DNACorpus1/mtpacga,100314,36647,2.737,4383467,1602108
DNACorpus1/humhdab,58864,22484,2.618,2695027,1077139
DNACorpus1/hehcmv,229354,85279,2.689,10490902,3578671
