File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609527,3.067,3865549311,714097489
DNACorpus2/EsCo,4641652,1593032,2.914,390158082,89940111
DNACorpus2/GaGa,148532294,46851235,3.17,29806691654,4637865939
DNACorpus2/HaHi,3890005,1306336,2.978,297913525,71816168
DNACorpus2/DaRe,62565020,19585959,3.194,10957584110,1790097192
DNACorpus2/HePy,1667825,566631,2.943,87672208,25411080
DNACorpus2/HoSa,189752667,57199679,3.317,39674693996,5750313996
DNACorpus2/DrMe,32181429,10618575,3.031,4862223883,948677730
DNACorpus2/ScPo,10652155,3590421,2.967,1219377385,253429751
DNACorpus2/BuEb,18940,7740,2.447,936494,446932
DNACorpus2/OrSa,43262523,14147605,3.058,6779799009,1274063522
DNACorpus2/AgPh,43970,17258,2.548,2077613,838860
DNACorpus2/YeMi,73689,27019,2.727,3303272,1229186
DNACorpus2/AeCa,1591049,556194,2.861,82555768,24955541
DNACorpus2/PlFa,8986712,2895340,3.104,1042443374,198178779
