File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609527,3.067,3855993902,712588855
DNACorpus2/EsCo,4641652,1593032,2.914,385083367,88975393
DNACorpus2/GaGa,148532294,46851235,3.17,29812380958,4615569213
DNACorpus2/HaHi,3890005,1306336,2.978,295165611,70582105
DNACorpus2/DaRe,62565020,19585959,3.194,10957011124,1795363675
DNACorpus2/HePy,1667825,566631,2.943,88935016,25133754
DNACorpus2/HoSa,189752667,57199679,3.317,39840123338,5746430800
DNACorpus2/DrMe,32181429,10618575,3.031,4895050451,952512605
DNACorpus2/ScPo,10652155,3590421,2.967,1220727390,250944563
DNACorpus2/BuEb,18940,7740,2.447,932055,441592
DNACorpus2/OrSa,43262523,14147605,3.058,6797396228,1277259560
DNACorpus2/AgPh,43970,17258,2.548,2052276,879718
DNACorpus2/YeMi,73689,27019,2.727,3338539,1240196
DNACorpus2/AeCa,1591049,556194,2.861,84864429,24894804
DNACorpus2/PlFa,8986712,2895340,3.104,1034296953,197012021
